-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.026,  0.214
-183.799, 80.193, 0.121,  0.247
-183.796, 80.185, 0.266,  0.280
-183.793, 80.173, 0.368,  0.313
-183.789, 80.157, 0.492,  0.346
-183.783, 80.135, 0.699,  0.379
-183.775, 80.104, 0.949,  0.412
-183.766, 80.066, 1.163,  0.445
-183.756, 80.022, 1.341,  0.478
-183.746, 79.973, 1.479,  0.511
-183.736, 79.921, 1.564,  0.544
-183.726, 79.869, 1.596,  0.577
-183.717, 79.816, 1.609,  0.610
-183.707, 79.764, 1.606,  0.643
-183.698, 79.712, 1.590,  0.676
-183.690, 79.661, 1.566,  0.709
-183.682, 79.612, 1.517,  0.742
-183.674, 79.564, 1.463,  0.775
-183.667, 79.518, 1.412,  0.808
-183.660, 79.474, 1.367,  0.841
-183.653, 79.430, 1.330,  0.874
-183.647, 79.388, 1.300,  0.907
-183.641, 79.346, 1.280,  0.940
-183.635, 79.304, 1.269,  0.973
-183.629, 79.262, 1.267,  1.006
-183.623, 79.220, 1.274,  1.039
-183.617, 79.178, 1.289,  1.072
-183.612, 79.135, 1.311,  1.105
-183.606, 79.091, 1.336,  1.138
-183.600, 79.046, 1.364,  1.171
-183.594, 79.000, 1.392,  1.204
-183.588, 78.953, 1.418,  1.237
-183.583, 78.905, 1.440,  1.270
-183.577, 78.857, 1.459,  1.303
-183.572, 78.808, 1.473,  1.336
-183.566, 78.759, 1.482,  1.369
-183.561, 78.710, 1.488,  1.402
-183.555, 78.660, 1.490,  1.435
-183.550, 78.611, 1.490,  1.468
-183.545, 78.562, 1.488,  1.501
-183.539, 78.513, 1.485,  1.534
-183.534, 78.464, 1.481,  1.567
-183.529, 78.415, 1.478,  1.600
-183.523, 78.366, 1.475,  1.633
-183.518, 78.317, 1.474,  1.666
-183.513, 78.268, 1.474,  1.699
-183.508, 78.220, 1.475,  1.732
